cell,strategy,entries,sl_multiplier,trailing_open,trailing_close,trail_after_stage,final_target,max_hold,activation_delay,est_jan_edge,tick_oos,est_jan_oos,est_jan_dd,pass_dd40,pass_dd50,f_edge,f_dd,tickmay_edge,tickmay_dd,tickmay_net,m1may_edge,m1may_dd,m1may_net,m1_jan_edge,m1_jan_oos,m1_jan_dd,m1_jan_net,jan_signals
tcal_e8_slm16_to05_tc05_mh300_ad1,TC18,8,1.6,0.5,0.5,,,300,1,75862.5,-1953.15,4500.21,58.76,False,False,0.3033,1.0074,20813.41,33.94,1110150.35,68632.27,33.69,551827030.29,250123.65,14837.48,58.33,8.421339614742922e+17,10140
tcal_e8_slm18_to05_tc075_mh300_ad2,TC18,8,1.8,0.5,0.75,,,300,2,75698.2,-2430.41,4598.7,57.28,False,False,0.2912,0.9965,20510.5,28.53,748548.71,70432.64,28.63,249970436.58,259952.62,15792.24,57.48,7.83265284862208e+16,10140
tcal_e7_slm17_to07_tc05_mh300_ad0,TC18,7,1.7,0.7,0.5,,,300,0,75204.16,-1362.29,4244.93,55.74,False,False,0.303,1.0039,20358.07,33.32,1202165.35,67195.02,33.19,744187536.82,248198.55,14009.67,55.52,2.763848571536182e+18,10140
tcal_e8_slm18_to05_tc05_mh300_ad1,TC18,8,1.8,0.5,0.5,,,300,1,74862.86,-2433.05,4622.92,58.55,False,False,0.2863,1.0067,20552.91,28.61,776905.58,71793.79,28.42,307285107.28,261483.97,16147.13,58.16,1.0583281679039144e+17,10140
tcal_e8_slm17_to05_tc075_mh300_ad1,TC18,8,1.7,0.5,0.75,,,300,1,74834.29,-2582.88,4488.13,60.03,False,False,0.2963,1.007,20792.63,30.01,916229.75,70185.35,29.8,392618389.76,252562.58,15147.24,59.61,2.0111621733475987e+17,10140
tcal_e8_slm16_to05_tc075_mh300_ad1,TC18,8,1.6,0.5,0.75,,,300,1,74610.79,-1953.15,4400.3,58.68,False,False,0.3036,0.9994,20403.14,33.86,1031874.75,67210.69,33.88,437547449.96,245753.59,14493.73,58.72,4.520699982121784e+17,10140
tcal_e8_slm16_to07_tc05_mh300_ad2,TC18,8,1.6,0.7,0.5,,,300,2,74420.04,-1522.51,4428.0,59.71,False,False,0.3142,1.0062,20407.74,35.54,938304.62,64950.96,35.32,299038609.8,236855.63,14092.95,59.34,1.227191256879953e+17,10140
tcal_e7_slm17_to07_tc075_mh300_ad0,TC18,7,1.7,0.7,0.75,,,300,0,74057.12,-1362.29,4154.12,55.83,False,False,0.3033,0.9955,19986.73,33.22,1129469.33,65892.84,33.37,596344480.98,244171.17,13696.42,56.08,1.496319372799967e+18,10140
tcal_e8_slm17_to07_tc05_mh300_ad2,TC18,8,1.7,0.7,0.5,,,300,2,73584.76,-1710.68,4191.0,59.07,False,False,0.3041,0.9982,19912.28,33.23,759368.64,65484.46,33.29,192977424.4,241975.53,13781.65,59.18,4.218779816219259e+16,10140
tcal_e8_slm18_to05_tc075_mh300_ad1,TC18,8,1.8,0.5,0.75,,,300,1,73541.78,-2433.05,4516.92,57.97,False,False,0.2863,0.9909,20122.14,28.45,733502.96,70280.21,28.71,249277200.04,256869.66,15776.88,58.5,5.791303699418543e+16,10140
