cell,strategy,entries,trailing_open,trailing_close,trail_after_stage,sl_multiplier,final_target,activation_delay,max_hold,jan_net,jan_dd,jan_edge,jan_oos,jan_signals,pass_dd40,pass_dd50
vcal_e7_to05_tc15_s1_slm15_TP3_ad0_mh240,VIC,7,0.5,1.5,1,1.5,TP3,0,240,5300251.65,11.64,38059.14,2585.63,1319,True,True
vcal_e7_to05_tc15_s1_slm15_TP3_ad0_mh300,VIC,7,0.5,1.5,1,1.5,TP3,0,300,5137350.08,11.66,37955.32,2587.23,1319,True,True
vcal_e7_to05_tc15_s1_slm15_TP3_ad2_mh240,VIC,7,0.5,1.5,1,1.5,TP3,2,240,5126647.67,11.66,37930.28,2478.5,1319,True,True
vcal_e8_to05_tc05_s1_slm15_TP3_ad1_mh60,VIC,8,0.5,0.5,1,1.5,TP3,1,60,2856208.77,11.28,37929.56,2252.2,1319,True,True
vcal_e7_to05_tc15_s1_slm15_TP3_ad1_mh240,VIC,7,0.5,1.5,1,1.5,TP3,1,240,5132547.93,11.66,37784.34,2464.36,1319,True,True
vcal_e7_to05_tc05_s1_slm17_TP2_ad2_mh150,VIC,7,0.5,0.5,1,1.7,TP2,2,150,2916527.64,11.66,37776.0,2539.9,1319,True,True
vcal_e7_to05_tc05_s1_slm17_TP2_ad0_mh150,VIC,7,0.5,0.5,1,1.7,TP2,0,150,2927920.09,11.69,37769.79,2567.76,1319,True,True
vcal_e7_to05_tc15_s1_slm15_TP3_ad2_mh300,VIC,7,0.5,1.5,1,1.5,TP3,2,300,4892128.81,11.63,37673.59,2480.1,1319,True,True
vcal_e7_to05_tc15_s1_slm15_TP3_ad1_mh300,VIC,7,0.5,1.5,1,1.5,TP3,1,300,4958673.68,11.65,37598.01,2465.96,1319,True,True
vcal_e8_to05_tc15_s1_slm17_TP3_ad0_mh60,VIC,8,0.5,1.5,1,1.7,TP3,0,60,1670768.81,11.38,37593.18,2262.37,1319,True,True
vcal_e7_to05_tc05_s1_slm15_TP3_ad0_mh90,VIC,7,0.5,0.5,1,1.5,TP3,0,90,5341663.97,11.44,37547.62,2533.98,1319,True,True
vcal_e8_to05_tc15_s1_slm17_TP3_ad2_mh60,VIC,8,0.5,1.5,1,1.7,TP3,2,60,1610646.59,11.41,37500.17,2134.9,1319,True,True
vcal_e7_to05_tc05_s1_slm17_TP2_ad1_mh150,VIC,7,0.5,0.5,1,1.7,TP2,1,150,2864097.4,11.67,37490.86,2519.21,1319,True,True
vcal_e8_to05_tc15_s1_slm17_TP3_ad1_mh60,VIC,8,0.5,1.5,1,1.7,TP3,1,60,1613923.54,11.38,37261.1,2138.78,1319,True,True
vcal_e7_to05_tc05_s1_slm15_TP3_ad2_mh90,VIC,7,0.5,0.5,1,1.5,TP3,2,90,5104895.95,11.43,37235.93,2463.39,1319,True,True
