rank,id,tick_net,m1_net,disc_m1_minus_tick,disc_pct,tick_dd_pct,m1_dd_pct,m1_net_nobonus,m1_edge_fixed,m1_closed_lots,m1_winrate,tick_nofill,slm,entries,slgap,maxhold,delay,frac,lock2,final
63,c094,13304.53,9426.532857142352,-3878.0,-29.1,25.46,20.737093120520413,9082.882857142215,978.3042857141118,114.5499999999999,66.47727272727273,90,2.3,8,0.5,180,0,0.5,false,TP3
64,c125,13304.53,10682.199999999531,-2622.33,-19.7,25.46,18.680221283185357,10336.359999999388,1109.2542857141088,115.27999999999989,66.47727272727273,90,2.3,8,0.5,180,0,0.75,true,TP3
65,c123,13201.61,8238.86333333399,-4962.75,-37.6,28.32,20.576065519739295,7856.303333334037,715.5299999999261,127.52,64.20454545454545,90,2.1,7,0.5,180,0,0.5,false,TP3
66,c013,12662.75,8882.160000000571,-3780.59,-29.9,25.09,19.142223710491063,8507.580000000646,755.9566666665924,124.86000000000003,64.0,90,2.1,7,0.5,240,0,0.5,false,TP2
67,c145,12662.75,8882.160000000571,-3780.59,-29.9,25.09,19.142223710491063,8507.580000000646,755.9566666665924,124.86000000000003,64.0,90,2.1,7,0.5,240,0,0.25,false,TP2
68,c138,12576.57,36222.498571429285,23645.93,188.0,23.94,13.36423788174762,35762.59857142928,2761.998571428405,153.3000000000002,64.57142857142857,90,2.1,8,0.5,240,24,0.25,false,TP2
69,c075,12576.57,30320.251428572068,17743.68,141.1,23.94,13.939012453680085,29882.55142857211,2369.168571428432,145.90000000000015,64.57142857142857,90,2.1,8,0.5,240,12,0.5,false,TP2
70,c010,12490.72,8759.359999999237,-3731.36,-29.9,24.31,19.646566509201655,8422.789999999208,743.0399999998772,112.19000000000008,65.71428571428571,90,2.3,6,0.5,240,0,0.5,true,TP2
71,c101,12127.93,29368.090000000913,17240.16,142.2,24.48,16.374944580254358,28930.510000000853,1705.540000000081,145.85999999999993,65.3179190751445,90,2.1,6,0.5,300,12,0.5,true,TP2
72,c081,11880.19,10078.195714285139,-1801.99,-15.2,24.09,18.675976059239453,9741.295714284977,1027.63714285694,112.29999999999993,65.14285714285715,90,2.3,8,0.5,240,0,0.5,true,TP2
73,c047,11870.0,7991.40999999897,-3878.59,-32.7,25.29,19.44772652761256,7656.2799999990575,730.689999999784,111.71,65.14285714285715,90,2.3,7,0.5,240,0,0.75,true,TP2
74,c134,11870.0,23974.39333333193,12104.39,102.0,25.29,17.027963678357263,23594.713333332016,1959.8799999997718,126.56000000000003,65.14285714285715,90,2.3,7,0.5,240,12,0.75,false,TP2
75,c114,11870.0,23974.39333333193,12104.39,102.0,25.29,17.027963678357263,23594.713333332016,1959.8799999997718,126.56000000000003,65.14285714285715,90,2.3,7,0.5,240,12,0.25,true,TP2
76,c084,11306.26,28449.716666666485,17143.46,151.6,27.79,18.578790413901185,28082.156666666604,2410.3733333332566,122.52,67.61363636363636,90,2.5,7,0.5,180,24,0.25,true,TP3
77,c014,11294.64,7396.720000000707,-3897.92,-34.5,24.46,20.329383221863292,7029.400000000804,632.2233333332842,122.44000000000001,64.16184971098265,90,2.1,7,0.5,300,0,0.5,true,TP2
