rank,id,tick_net,m1_net,disc_m1_minus_tick,disc_pct,tick_dd_pct,m1_dd_pct,m1_net_nobonus,m1_bonus,m1_edge_fixed,m1_closed_lots,m1_winrate,tick_nofill,slm,entries,slgap,maxhold,delay,frac,lock2,final,rr1,rr2,rr3,bb,rsi_buy,rsi_sell
69,c065,-10995.12,47620.49000001342,58615.61,533.1,83.37,32.68022247846073,43915.340000012715,3705.149999999993,5962.7099999999555,1235.0500000000127,54.86765365634814,454,2.1,6,0.5,300,24,0.25,true,TP3,1,2,3,0.0006,75,25
70,c187,-11283.32,-31606.183333338817,-20322.86,-180.1,80.32,65.46739024752748,-33353.923333338134,1747.7400000000112,-5739.48000000207,582.5799999999907,52.65981224854717,454,1.9,7,0.7,300,0,0.25,false,TP3,1,2,3,0.0006,75,25
71,c100,-11309.7,-28676.416666665507,-17366.72,-153.6,64.3,60.45061921848538,-30068.596666664755,1392.1800000000294,-7170.546666667964,464.05999999998295,54.96624879459981,430,2.3,7,0.5,300,0,0.5,false,TP2,1.2,2.5,5,0.0008,100,0
72,c010,-11317.16,-4901.269999995209,6415.89,56.7,49.81,36.74556313954829,-7237.8499999973355,2336.580000000005,-66.07999999873573,778.8600000000021,58.05325185508512,465,2.3,6,0.5,240,24,0.75,false,TP2,0.8,1.5,3,0.0004,75,25
73,c035,-11333.21,-28109.90333333495,-16776.69,-148.0,71.47,59.396457708402984,-29503.253333334065,1393.3500000000497,-7847.370000002302,464.4499999999808,56.42633228840125,454,2.5,7,0.3,300,0,0.75,true,TP2,1.2,2.5,5,0.0006,75,25
74,c095,-11375.86,-2722.640000011328,8653.22,76.1,59.4,46.29661537962392,-5195.810000012535,2473.1700000000083,1313.0599999971091,824.3900000000032,52.214111922141115,425,1.9,6,0.3,300,12,0.75,true,TP2,1,2.5,4,0.0008,70,30
75,c180,-11462.39,-32436.20000000003,-20973.81,-183.0,44.71,66.93913985567093,-33930.889999998784,1494.6900000000462,-9323.030000002575,498.22999999997677,58.674803836094156,466,2.3,7,0.3,300,0,0.75,false,TP2,0.8,1.5,3,0.0004,100,0
76,c032,-11508.23,-29785.146666667868,-18276.92,-158.8,66.66,61.76705117299727,-30992.406666667208,1207.26000000002,-8434.916666668643,402.4199999999862,56.39170284611674,430,2.5,7,0.3,300,0,0.25,true,TP2,1,2.5,4,0.0008,100,0
77,c127,-11627.88,3072.2285714115933,14700.11,126.4,58.02,37.81536252991853,-20.801428587849728,3093.029999999984,2930.565714283235,1031.0099999999934,53.775643823657795,466,1.9,8,0.3,300,24,0.5,true,TP2,1,2,3,0.0004,100,0
78,c116,-11639.24,2061.330000004986,13700.57,117.7,55.41,38.78500764969469,-462.26999999508325,2523.6000000000327,1417.3428571434924,841.1999999999973,54.98421290031574,450,2.1,8,0.3,240,24,0.5,true,TP2,1,2,3,0.0006,70,30
79,c026,-11645.43,-31590.579999995913,-19945.15,-171.3,97.33,65.22634457143589,-32919.75999999636,1329.1799999999798,-7313.659999998614,443.0600000000102,57.76277724204436,429,2.3,6,0.7,240,0,0.25,true,TP3,0.8,1.5,3,0.0008,75,25
80,c017,-11662.39,53531.34,65193.73,559.0,118.42,38.3261731200979,48721.649999998655,4809.689999999991,4933.099999999446,1603.2300000000134,51.63826998689384,467,1.7,6,0.7,180,24,0.5,true,TP3,1,2,4,0.0004,80,20
81,c021,-11875.49,18535.669999986727,30411.16,256.1,68.21,40.687867749904854,15224.299999987157,3311.3699999999753,4329.086666663214,1103.7900000000018,52.62008733624454,466,1.9,7,0.5,300,24,0.75,false,TP2,1,2.5,4,0.0004,100,0
82,c122,-11933.89,-28801.21000000243,-16867.32,-141.3,115.91,62.70392340888026,-31049.140000003747,2247.93,-4288.590000001495,749.3099999999903,51.22164048865619,466,1.7,6,0.5,180,0,0.5,false,TP3,1,2,4,0.0004,75,25
83,c191,-11965.43,10867.819999999803,22833.25,190.8,110.43,42.70584855847906,8487.979999998941,2379.84000000001,2506.780000000028,793.2800000000008,54.24321959755031,467,2.3,6,0.3,240,12,0.5,false,TP3,1,2,4,0.0004,75,25
84,c079,-12118.89,36764.843333333396,48883.73,403.4,101.08,30.175496073015072,33762.833333335606,3002.009999999991,5184.916666663667,1000.6699999999992,56.225425950196595,467,2.3,7,0.3,180,24,0.5,true,TP3,1,2,4,0.0004,100,0
85,c025,-12128.18,13228.406666653253,25356.59,209.1,63.26,40.08987524653562,10305.956666654152,2922.44999999997,4115.656666662522,974.1500000000002,51.569290197971995,430,1.9,7,0.3,300,24,0.5,true,TP2,1.2,2.5,5,0.0008,80,20
86,c131,-12234.33,-34437.10428572023,-22202.77,-181.5,53.8,71.22357073203524,-36120.52428572014,1683.4200000000358,-8671.131428574932,561.1400000000016,54.19642857142857,455,1.9,8,0.5,300,0,0.5,true,TP2,1,2,4,0.0006,80,20
87,c194,-12303.18,-27442.097142852672,-15138.92,-123.0,65.32,58.284381027360254,-28866.79714285278,1424.7000000000294,-7863.529999998958,474.9000000000052,55.19922254616132,425,2.3,8,0.7,300,0,0.25,false,TP2,1.2,2.5,5,0.0008,70,30
88,c050,-12371.36,-31014.003333332024,-18642.64,-150.7,67.33,64.2956337250151,-32437.29333333139,1423.2900000000543,-8050.233333334683,474.42999999997926,55.659955257270695,455,2.3,7,0.5,300,0,0.5,false,TP2,1,2.5,4,0.0006,80,20
89,c076,-12406.65,18770.616666652117,31177.27,251.3,93.67,33.51463316246836,15445.716666653094,3324.8999999999724,3204.196666662632,1108.3000000000052,53.780760626398205,455,1.9,7,0.3,240,12,0.25,true,TP3,1,2,3,0.0006,100,0
